;chaincodename;key;value;function;total;size
35;micro;|DEMOASSET|28|;"{""uuid"":""28"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|28|{""uuid"":""28"",""type"":""DemoAsset""}";46
35;micro;|DEMOASSET|28|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|28|pocket1|100000.0;30
35;micro;|DEMOASSET|28|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|28|pocket2|100000.0;30
35;micro;|DEMOASSET|28|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|28|pocket3|100000.0;30
36;micro;|DEMOASSET|29|;"{""uuid"":""29"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|29|{""uuid"":""29"",""type"":""DemoAsset""}";46
36;micro;|DEMOASSET|29|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|29|pocket1|100000.0;30
36;micro;|DEMOASSET|29|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|29|pocket2|100000.0;30
36;micro;|DEMOASSET|29|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|29|pocket3|100000.0;30
37;micro;|DEMOASSET|30|;"{""uuid"":""30"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|30|{""uuid"":""30"",""type"":""DemoAsset""}";46
37;micro;|DEMOASSET|30|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|30|pocket1|100000.0;30
37;micro;|DEMOASSET|30|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|30|pocket2|100000.0;30
37;micro;|DEMOASSET|30|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|30|pocket3|100000.0;30
38;micro;|DEMOASSET|31|;"{""uuid"":""31"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|31|{""uuid"":""31"",""type"":""DemoAsset""}";46
38;micro;|DEMOASSET|31|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|31|pocket1|100000.0;30
