;chaincodename;key;value;function;total;size
2879;micro-aff;|DEMOASSET|240|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|240|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2880;micro-aff;|DEMOASSET|366|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|366|pocket1|100000.0;31
2881;micro-aff;|DEMOASSET|227|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|227|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2882;micro-aff;|DEMOASSET|296|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|296|pocket1|100000.0;31
2883;micro-aff;|DEMOASSET|213|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|213|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2884;micro-aff;|DEMOASSET|330|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|330|pocket1|100000.0;31
2885;micro-aff;|DEMOASSET|253|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|253|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2886;micro-aff;|DEMOASSET|373|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|373|pocket1|100000.0;31
2887;micro-aff;|DEMOASSET|394|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|394|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2888;micro-aff;|DEMOASSET|389|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|389|pocket1|100000.0;31
2889;micro-aff;|DEMOASSET|202|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|202|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2890;micro-aff;|DEMOASSET|393|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|393|pocket1|100000.0;31
2891;micro-aff;|DEMOASSET|213|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|213|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2892;micro-aff;|DEMOASSET|287|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|287|pocket1|100000.0;31
2893;micro-aff;|DEMOASSET|273|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|273|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2894;micro-aff;|DEMOASSET|318|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|318|pocket1|100000.0;31
2895;micro-aff;|DEMOASSET|363|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|363|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2896;micro-aff;|DEMOASSET|244|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|244|pocket1|100000.0;31
2897;micro-aff;|DEMOASSET|226|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|226|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2898;micro-aff;|DEMOASSET|207|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|207|pocket1|100000.0;31
2899;micro-aff;|DEMOASSET|340|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|340|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2900;micro-aff;|DEMOASSET|325|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|325|pocket1|100000.0;31
2901;micro-aff;|DEMOASSET|258|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|258|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2902;micro-aff;|DEMOASSET|392|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|392|pocket1|100000.0;31
2903;micro-aff;|DEMOASSET|322|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|322|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2904;micro-aff;|DEMOASSET|391|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|391|pocket1|100000.0;31
2905;micro-aff;|DEMOASSET|293|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|293|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2906;micro-aff;|DEMOASSET|344|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|344|pocket1|100000.0;31
2907;micro-aff;|DEMOASSET|313|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|313|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2908;micro-aff;|DEMOASSET|374|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|374|pocket1|100000.0;31
2909;micro-aff;|DEMOASSET|380|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|380|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2910;micro-aff;|DEMOASSET|302|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|302|pocket1|100000.0;31
